Wisconsin Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,15.1,2.7
200002,25.3,8.9
200003,38.4,10.1
200004,42.9,0.3
200005,57.1,2.5
200006,62.8,-1.3
200007,67.6,-1.3
200008,67.6,1.2
200009,58.1,0.1
200010,50.5,3.7
200011,32.4,0.8
200012,8.6,-9.5
200101,19.1,6.7
200102,14.8,-1.6
200103,28.0,-0.3
200104,46.8,4.2
200105,57.0,2.4
200106,64.4,0.3
200107,70.0,1.1
200108,69.7,3.3
200109,57.3,-0.7
200110,46.1,-0.7
200111,43.2,11.6
200112,27.5,9.4
200201,24.0,11.6
200202,26.7,10.3
200203,24.8,-3.5
200204,42.9,0.3
200205,50.8,-3.8
200206,66.4,2.3
200207,72.7,3.8
200208,67.4,1.0
200209,61.6,3.6
200210,42.1,-4.7
200211,31.4,-0.2
200212,24.2,6.1
200301,13.7,1.3
200302,13.7,-2.7
200303,29.1,0.8
200304,42.6,0.0
200305,53.8,-0.8
200306,63.1,-1.0
200307,68.4,-0.5
200308,70.1,3.7
200309,59.4,1.4
200310,46.8,0.0
200311,32.9,1.3
200312,24.8,6.7
200401,10.7,-1.7
200402,20.8,4.4
200403,33.6,5.3
200404,44.6,2.0
200405,53.1,-1.5
200406,62.0,-2.1
200407,66.8,-2.1
200408,62.2,-4.2
200409,63.1,5.1
200410,48.2,1.4
200411,36.7,5.1
200412,20.4,2.3
200501,14.2,1.8
200502,24.8,8.4
200503,27.4,-0.9
200504,47.7,5.1
200505,52.7,-1.9
200506,69.4,5.3
200507,70.7,1.8
200508,68.2,1.8
200509,63.3,5.3
200510,49.6,2.8
200511,34.5,2.9
200512,18.3,0.2
200601,27.7,15.3
200602,18.4,2.0
200603,31.6,3.3
200604,49.0,6.4
200605,56.5,1.9
200606,65.1,1.0
200607,72.8,3.9
200608,68.0,1.6
200609,56.4,-1.6
200610,42.8,-4.0
200611,36.4,4.8
200612,27.2,9.1
200701,20.3,7.9
200702,11.7,-4.7
200703,34.6,6.3
200704,42.8,0.2
200705,59.1,4.5
200706,66.9,2.8
200707,69.5,0.6
200708,68.4,2.0
200709,61.1,3.1
200710,52.6,5.8
200711,32.8,1.2
200712,17.1,-1.0
200801,14.7,2.3
200802,13.2,-3.2
200803,25.4,-2.9
200804,42.9,0.3
200805,52.0,-2.6
200806,64.4,0.3
200807,69.0,0.1
200808,66.5,0.1
200809,60.5,2.5
200810,46.7,-0.1
200811,33.3,1.7
200812,12.7,-5.4
200901,6.1,-6.3
200902,20.4,4.0
200903,30.1,1.8
200904,43.0,0.4
200905,55.1,0.5
200906,63.6,-0.5
200907,63.7,-5.2
200908,64.8,-1.6
200909,61.4,3.4
200910,42.2,-4.6
200911,40.0,8.4
200912,18.2,0.1
201001,15.1,2.7
201002,20.0,3.6
201003,37.4,9.1
201004,50.0,7.4
201005,57.6,3.0
201006,65.1,1.0
201007,71.4,2.5
201008,70.8,4.4
201009,56.9,-1.1
201010,49.5,2.7
201011,34.9,3.3
201012,16.9,-1.2
201101,12.2,-0.2
201102,18.5,2.1
201103,28.0,-0.3
201104,41.7,-0.9
201105,54.0,-0.6
201106,64.3,0.2
201107,73.2,4.3
201108,68.2,1.8
201109,57.3,-0.7
201110,49.8,3.0
201111,36.7,5.1
201112,25.7,7.6
201201,20.8,8.4
201202,26.6,10.2
201203,45.6,17.3
201204,45.1,2.5
201205,59.6,5.0
201206,67.1,3.0
201207,74.8,5.9
201208,67.1,0.7
201209,57.7,-0.3
201210,44.8,-2.0
201211,34.4,2.8
201212,25.1,7.0
201301,16.8,4.4
201302,17.0,0.6
201303,23.9,-4.4
201304,37.8,-4.8
201305,55.2,0.6
201306,63.9,-0.2
201307,68.9,0.0
201308,67.6,1.2
201309,60.8,2.8
201310,46.7,-0.1
201311,30.8,-0.8
201312,11.9,-6.2
201401,6.0,-6.4
201402,7.3,-9.1
201403,21.4,-6.9
201404,39.7,-2.9
201405,55.3,0.7
201406,66.4,2.3
201407,65.9,-3.0
201408,67.1,0.7
201409,58.2,0.2
201410,46.0,-0.8
201411,25.3,-6.3
201412,24.1,6.0
201501,15.3,2.9
201502,7.6,-8.8
201503,30.7,2.4
201504,45.0,2.4
201505,56.6,2.0
201506,63.8,-0.3
201507,68.4,-0.5
201508,66.1,-0.3
201509,64.7,6.7
201510,48.4,1.6
201511,39.4,7.8
201512,31.8,13.7
201601,16.2,3.8
201602,22.6,6.2
201603,36.8,8.5
201604,42.9,0.3
201605,56.1,1.5
201606,65.8,1.7
201607,69.9,1.0
201608,69.5,3.1
201609,62.6,4.6
201610,50.4,3.6
201611,41.6,10.0
201612,19.9,1.8
201701,19.4,7.0
201702,27.8,11.4
201703,30.2,1.9
201704,46.4,3.8
201705,53.3,-1.3
201706,65.6,1.5
201707,68.8,-0.1
201708,64.2,-2.2
201709,62.2,4.2
201710,50.0,3.2
201711,31.4,-0.2
201712,17.3,-0.8
201801,15.2,2.8
201802,16.1,-0.3
201803,29.7,1.4
201804,33.5,-9.1
201805,62.0,7.4
201806,66.5,2.4
201807,69.8,0.9
201808,68.5,2.1
201809,61.2,3.2
201810,43.6,-3.2
201811,27.3,-4.3
201812,25.1,7.0
